10mer primers	10mer primer	primer
121R63	121R63	121R63
198bp	198bp	198bp
1AL	1AL	1AL
1AS	1AS	1AS
1B	1B	1B
1BL	1BL	1BL
1BL 1RS	1BL 1RS	1RS
1BL center	1BL center	center
1BS	1BS	1BS
1D1B	1D1B	1D1B
1DY10 transgene	1DY10 transgene	transgene
1Dy10 transgenic segregants	1Dy10 transgenic segregants	segregants
1RS	1RS	1RS
1RS characterisation of S1 families	1RS characterisation of S1 family	characterisation
1RS chromosome arm of Aimengniu	1RS chromosome arm of Aimengniu	arm
1RS chromosome segment	1RS chromosome segment	segment
1RS translocation	1RS translocation	translocation
1RS translocations	1RS translocation	translocation
1RS wheat	1RS wheat	wheat
21st day	21st day	day
220bp bands	220bp band	band
2A2B	2A2B	2A2B
2B NIL showed improvement	2B Nil show improvement	improvement
2B QTL	2B QTL	QTL
3B NIL	3B Nil	Nil
3BS region	3BS region	region
4101R	4101R	4101R
4A allele	4A allele	allele
4A chromosome of wheat	4A chromosome of wheat	chromosome
4A GBSS gene	4A GBSS gene	gene
4AL deletion bin	4AL deletion bin	bin
4AL deletion lines	4AL deletion line	line
4AL PHS tolerance gene	4AL PHS tolerance gene	gene
4A QTL	4A QTL	QTL
4B	4B	4B
4B NIL	4B Nil	Nil
5A NIL	5A Nil	Nil
5A NILs	5A Nils	Nils
5AS	5AS	5AS
5B homeologous GSP locus	5B homeologous GSP locus	locus
5BL	5BL	5BL
5BS chromosome	5BS chromosome	chromosome
5D co	5D Co	Co
5DL	5DL	5DL
5D of 'Saratovskaya 29'	5D of 'Saratovskaya 29'	5D
5RI	5RI	5RI
6010' combination	6010' combination	combination
6A chromosome	6A chromosome	chromosome
6BS of Sumai	6BS of Sumai	6BS
6SS	6SS	6SS
7AL 7DL translocation	7AL 7DL translocation	translocation
7BS	7BS	7BS
7D translocation	7D translocation	translocation
7EL	7EL	7EL
7+Sr38	7+Sr38	7+Sr38
93FHB	93FHB	93FHB
A1a haplotype	A1a haplotype	haplotype
A1 alleles	A1 allele	allele
A1b haplotype	A1b haplotype	haplotype
A1 gene	A1 gene	gene
A1 genes	A1 gene	gene
A1 locus	A1 locus	locus
A3 alleles	A3 allele	allele
A3 alleles of bread wheat	A3 allele of bread_wheat	allele
A3e allele	A3e allele	allele
A3g	A3g	A3g
A3 loci of hexaploid wheat cultivars	A3 locus of hexaploid wheat cultivar	locus
abbreviation of cytological anaylsis	abbreviation of cytological anaylsis	abbreviation
ABC(920)	ABC(920)	ABC(920)
ABC920 fragment	ABC920 fragment	fragment
ability	ability	ability
abnormalities	abnormality	abnormality
above average resistance	above average resistance	resistance
above donor parents	above donor parent	parent
absence	absence	absence
absence of a product band	absence of a product band	absence
absence of a vernalization treatment	absence of a vernalization treatment	absence
absence of bioassays	absence of bioassay	absence
absence of chromosome 7D	absence of chromosome 7D	absence
absence of direct selection method	absence of direct selection method	absence
absence of linked molecular markers	absence of link molecular marker	absence
absence of Rht8	absence of Rht8	absence
absence of selective pressure	absence of selective pressure	absence
absence of signs of virulence	absence of sign of virulence	absence
absence of this fragment	absence of this fragment	absence
accelerated breeders' interest	accelerate breeders' interest	interest
acceleration	acceleration	acceleration
acceptor genotypes	acceptor genotype	genotype
accessions of Ae	accession of Ae	accession
accessions of hexaploid wheat	accession of hexaploid wheat	accession
accumulation of poisonous mycotoxins	accumulation of poisonous mycotoxin	accumulation
accuracy	accuracy	accuracy
accurate tests	accurate test	test
Acetolactate synthase	Acetolactate synthase	synthase
AC Foremost	AC Foremost	Foremost
ACRCP	ACRCP	ACRCP
acrocentric chromosome	acrocentric chromosome	chromosome
active cells	active cell	cell
active introgression programs	active introgression program	program
additional band present	additional band present	present
additional bases	additional base	base
additional efficient tool	additional efficient tool	tool
additional flanking markers	additional flank marker	marker
Additional genes	additional gene	gene
additional molecular markers	additional molecular marker	marker
additional pair of dominant markers	additional pair of dominant marker	pair
additional phenotypic selection	additional phenotypic selection	selection
additional results	additional result	result
Additional SNP discovery efforts	additional SNP discovery effort	effort
additional wheat genotypes	additional wheat genotype	genotype
Addition lines	addition line	line
additive effects conferred resistance to leaf rust	additive effect confer resistance to leaf rust	resistance
